ilce_adi;mahalle_adi;mahalle_koy_uavt;cok_agir_hasarli_bina_sayisi;agir_hasarli_bina_sayisi;orta_hasarli_bina_sayisi;hafif_hasarli_bina_sayisi;can_kaybi_sayisi;agir_yarali_sayisi;hastanede_tedavi_sayisi;hafif_yarali_sayisi;dogalgaz_boru_hasari;icme_suyu_boru_hasari;atik_su_boru_hasari;gecici_barinma
ADALAR;BURGAZADA;40139;54;99;256;241;8;6;24;42;0;0;1;398
ADALAR;HEYBEL›ADA;40142;101;175;423;393;25;21;66;113;1;1;2;763
ADALAR;KINALIADA;40143;53;97;287;302;5;3;15;27;0;1;1;420
ADALAR;MADEN;40140;104;192;483;484;22;18;64;113;1;1;2;847
ADALAR;N›ZAM;40141;101;180;445;422;16;13;48;83;1;2;2;687
ARNAVUTK÷Y;ADNAN MENDERES;40490;1;3;21;57;0;0;1;3;0;0;0;89
ARNAVUTK÷Y;ANADOLU;99359;2;13;108;371;0;0;8;26;1;1;1;659
ARNAVUTK÷Y;ARNAVUTK÷Y MERKEZ;40478;1;6;51;199;0;0;2;10;0;1;1;273
ARNAVUTK÷Y;ATAT‹RK;40482;1;6;49;129;0;0;2;8;0;0;0;209
ARNAVUTK÷Y;BAKLALI;191981;1;5;23;65;0;0;0;0;0;0;0;26
ARNAVUTK÷Y;BALABAN;191983;0;1;7;25;0;0;0;0;0;0;0;7
ARNAVUTK÷Y;BO–AZK÷Y ›ST›KLAL;40483;2;14;95;249;0;0;3;10;0;1;1;246
ARNAVUTK÷Y;BOLLUCA;40487;1;6;46;125;0;0;1;5;0;0;0;177
ARNAVUTK÷Y;BOYALIK;191985;1;4;21;63;0;0;0;0;0;0;0;24
ARNAVUTK÷Y;«›L›NG›R;40494;1;5;28;76;0;0;0;0;0;0;0;38
ARNAVUTK÷Y;DEL›KL›KAYA;40910;1;7;50;120;0;0;0;2;1;1;1;173
ARNAVUTK÷Y;DURSUNK÷Y;40911;1;5;18;45;0;0;0;1;0;0;0;22
ARNAVUTK÷Y;DURUSU;40915;0;2;10;30;0;0;0;0;0;0;0;16
ARNAVUTK÷Y;FAT›H;40495;1;4;21;59;0;0;0;1;0;0;0;51
ARNAVUTK÷Y;HACIMAﬁLI;191975;0;3;16;41;0;0;0;0;0;0;0;20
ARNAVUTK÷Y;HADIMK÷Y;40913;1;7;63;203;0;0;0;4;1;1;1;387
